Semente;Valor de N;Algoritmo;Data Inicio;Tempo de Execucao(ns);Comparacoes;Copias
1;1000;BubbleSort;15/05/2019 09:16:34;342122500;748536;120479
1;1000;BubbleSort;15/05/2019 09:27:03;210806000;721546;113925
1;1000;BubbleSort;15/05/2019 09:33:00;230284700;766228;155485
1;1000;BubbleSort;15/05/2019 09:37:36;320033900;770672;142615
1;1000;QuickSort Recursivo;15/05/2019 09:37:36;290281300;632011;314027
1;1000;QuickSort Mediana 3;15/05/2019 09:37:37;16313200;26881;3918
1;1000;QuickSort Mediana 5;15/05/2019 09:37:37;5571200;37101;3918
1;1000;QuickSort Hibrido 10;15/05/2019 09:37:37;278118600;632010;314027
1;1000;QuickSort Hibrido 100;15/05/2019 09:37:37;274404600;632010;314027
1;1000;InsertionSort;15/05/2019 09:37:37;1836200;1584;791
1;1000;MergeSort;15/05/2019 09:37:37;9287800;34980;4795
1;1000;HeapSort;15/05/2019 09:37:37;5677800;24761;7461
1;1000;ShellSort;15/05/2019 09:37:37;9048500;19241;6405
1;1000;BubbleSort;15/05/2019 09:40:05;313978700;736935;137084
1;1000;QuickSort Recursivo;15/05/2019 09:40:05;285581500;603715;299924
1;1000;QuickSort Mediana 3;15/05/2019 09:40:06;9340500;26494;3855
1;1000;BubbleSort;15/05/2019 09:46:18;327445800;779166;157433
